发货时间,订单号,物流公司,运单号,包裹状态
2025-02-10 16:57:49,250210-512743258463865,韵达快递,464172136058110	,转运中
2025-02-10 16:47:49,250210-556772964722308,中通快递,78481562530166	,转运中
2025-02-10 16:47:49,250210-277600090472756,中通快递,78481562528226	,转运中
2025-02-10 16:47:48,250210-632427702570602,中通快递,78481562511447	,转运中
2025-02-10 16:47:48,250210-238949568893214,中通快递,78481562511450	,转运中
2025-02-10 16:47:47,250210-620557801030989,中通快递,78481562530186	,转运中
2025-02-10 16:47:47,250210-614926917232141,中通快递,78481562513409	,转运中
2025-02-10 16:47:47,250210-569618000163994,中通快递,78481562537535	,转运中
2025-02-10 16:47:46,250210-555430714961839,中通快递,78481562528196	,转运中
2025-02-10 16:47:46,250210-532687174031770,中通快递,78481562512436	,转运中
2025-02-10 16:47:46,250210-468398917220506,中通快递,78481562511462	,转运中
2025-02-10 16:47:46,250210-428165076541086,中通快递,78481562513317	,转运中
2025-02-10 16:47:46,250210-331454901880832,中通快递,78481562528119	,转运中
2025-02-10 16:47:46,250210-226639234643763,中通快递,78481562513516	,转运中
2025-02-10 16:47:46,250210-210774279723839,中通快递,78481562511434	,转运中
2025-02-10 16:47:46,250210-086255911202269,中通快递,78481562513332	,转运中
2025-02-10 16:47:46,250210-016305416550718,中通快递,78481562513373	,转运中
2025-02-10 16:47:45,250210-611204544912303,中通快递,78481562513294	,转运中
2025-02-10 16:47:45,250210-605584146863716,中通快递,78481562528254	,转运中
2025-02-10 16:47:45,250210-598778877470021,中通快递,78481562511475	,转运中
2025-02-10 16:47:45,250210-370399004192158,中通快递,78481562528121	,转运中
2025-02-10 16:47:45,250210-365428774510284,中通快递,78481562512428	,转运中
2025-02-10 16:47:45,250210-237376715053746,中通快递,78481562513560	,转运中
2025-02-10 16:47:45,250210-215765501442075,中通快递,78481562513304	,转运中
2025-02-10 16:47:45,250210-204545780152178,中通快递,78481562528213	,转运中
2025-02-10 16:47:45,250210-204220721491588,中通快递,78481562530278	,转运中
2025-02-10 16:47:45,250210-169533795910485,中通快递,78481562528270	,转运中
2025-02-10 16:19:09,250209-010338977352215,韵达快递,464172207391836	,转运中
2025-02-10 16:17:56,250209-223325776303050,韵达快递,464171849169935	,转运中
2025-02-10 16:14:02,250210-333499656500603,中通快递,78481557982566	,转运中
2025-02-10 16:14:02,250210-100264896820603,中通快递,78481557982566	,转运中
2025-02-10 16:14:02,250209-408640612723961,中通快递,78481557823866	,转运中
2025-02-10 16:14:02,250209-197016972833761,中通快递,78481557982446	,转运中
2025-02-10 16:14:01,250210-651553739171573,中通快递,78481557972960	,转运中
2025-02-10 16:14:01,250210-514934772131573,中通快递,78481557972960	,转运中
2025-02-10 16:14:01,250209-465012006542084,中通快递,78481557975984	,转运中
2025-02-10 16:14:01,250209-183721060682887,中通快递,78481557973650	,转运中
2025-02-10 16:14:01,250209-027294482803961,中通快递,78481557823866	,转运中
2025-02-10 16:12:59,250210-633203596921213,中通快递,78481557972482	,转运中
2025-02-10 16:12:59,250210-522274762361213,中通快递,78481557972482	,转运中
2025-02-10 16:12:59,250210-395155883641213,中通快递,78481557972482	,转运中
2025-02-10 16:12:59,250209-664472205602647,中通快递,78481557973052	,转运中
2025-02-10 16:12:35,250210-666139379311316,中通快递,78481557972156	,转运中
2025-02-10 16:12:35,250210-550554836483105,中通快递,78481557975481	,转运中
2025-02-10 16:12:35,250210-489244618292175,中通快递,78481557972600	,转运中
2025-02-10 16:12:35,250210-461593690523176,中通快递,78481557824293	,转运中
2025-02-10 16:12:35,250210-392691781960756,中通快递,78481557975150	,转运中
2025-02-10 16:12:35,250210-377634220382693,中通快递,78481557972852	,转运中
2025-02-10 16:12:35,250210-256418824572309,中通快递,78481557973739	,转运中
2025-02-10 16:12:35,250210-255233954123267,中通快递,78481557831186	,转运中
2025-02-10 16:12:35,250209-648386977410607,中通快递,78481557975877	,转运中
2025-02-10 16:12:35,250209-637565672960693,中通快递,78481557823641	,转运中
2025-02-10 16:12:35,250209-530715830560499,中通快递,78481557975772	,转运中
2025-02-10 16:12:35,250209-433722508810406,中通快递,78481557976023	,转运中
2025-02-10 16:12:35,250209-303688661342035,中通快递,78481557972811	,转运中
2025-02-10 16:12:35,250209-169733035553602,中通快递,78481557975270	,转运中
2025-02-10 16:12:35,250209-162246234432996,中通快递,78481557824610	,转运中
2025-02-10 16:12:35,250209-029423050260768,中通快递,78481557982637	,转运中
2025-02-10 16:12:35,250209-026319307073772,中通快递,78481557972972	,转运中
2025-02-10 16:12:34,250210-541295910503365,中通快递,78481557975808	,转运中
2025-02-10 16:12:34,250210-525598779711218,中通快递,78481557824237	,转运中
2025-02-10 16:12:34,250210-507521298040705,中通快递,78481557972717	,已派件
2025-02-10 16:12:34,250210-451349061122349,中通快递,78481557973754	,已派件
2025-02-10 16:12:34,250210-360070572333687,中通快递,78481557825287	,转运中
2025-02-10 16:12:34,250210-206401769902171,中通快递,78481557824081	,转运中
2025-02-10 16:12:34,250210-105203668481428,中通快递,78481557972766	,转运中
2025-02-10 16:12:34,250210-040275863922706,中通快递,78481557975936	,转运中
2025-02-10 16:12:34,250209-632417216822392,中通快递,78481557825338	,转运中
2025-02-10 16:12:34,250209-547881009471406,中通快递,78481557975494	,转运中
2025-02-10 16:12:34,250209-427462541613387,中通快递,78481557975520	,转运中
2025-02-10 16:12:34,250209-317645155941286,中通快递,78481557975196	,转运中
2025-02-10 16:12:34,250209-247893890651046,中通快递,78481557824416	,转运中
2025-02-10 16:12:34,250209-213836131990223,中通快递,78481557982731	,转运中
2025-02-10 16:12:34,250209-188104128851978,中通快递,78481557973890	,转运中
2025-02-10 16:12:34,250209-120072507702764,中通快递,78481557973713	,转运中
2025-02-10 16:12:34,250209-064372098613179,中通快递,78481557982744	,转运中
2025-02-10 16:12:33,250210-677652775243579,中通快递,78481557972824	,转运中
2025-02-10 16:12:33,250210-669180311944038,中通快递,78481557973938	,转运中
2025-02-10 16:12:33,250210-633423818311312,中通快递,78481557824000	,转运中
2025-02-10 16:12:33,250210-622654984623477,中通快递,78481557972957	,转运中
2025-02-10 16:12:33,250210-439122695812152,中通快递,78481557824186	,转运中
2025-02-10 16:12:33,250210-125787246963519,中通快递,78481557972837	,转运中
2025-02-10 16:12:33,250210-083550615880049,中通快递,78481557972786	,转运中
2025-02-10 16:12:33,250210-032988218993961,中通快递,78481557972268	,转运中
2025-02-10 16:12:33,250209-606894855691737,中通快递,78481557825139	,转运中
2025-02-10 16:12:33,250209-533389667962450,中通快递,78481557825381	,转运中
2025-02-10 16:12:33,250209-494068067861742,中通快递,78481557982652	,转运中
2025-02-10 16:12:33,250209-450185193880698,中通快递,78481557975206	,转运中
2025-02-10 16:12:33,250209-403261407661122,中通快递,78481557975943	,转运中
2025-02-10 16:12:33,250209-357553937921447,中通快递,78481557975175	,转运中
2025-02-10 16:12:33,250209-321084527031961,中通快递,78481557824451	,转运中
2025-02-10 16:12:33,250209-121645351303588,中通快递,78481557823945	,转运中
2025-02-10 16:12:33,250209-096185946501239,中通快递,78481557825366	,转运中
2025-02-10 16:11:45,250210-481904565902847,中通快递,78481557972720	,转运中
2025-02-10 16:11:45,250210-263370914181290,中通快递,78481557831166	,转运中
2025-02-10 16:11:45,250210-149589870160737,中通快递,78481557973647	,转运中
2025-02-10 16:11:45,250210-079995901492906,中通快递,78481557975836	,转运中
2025-02-10 16:11:45,250209-686355986841490,中通快递,78481557824265	,转运中
2025-02-10 16:11:45,250209-657341888833958,中通快递,78481557975902	,转运中
